Source,Target,Type,Label,Weight,source type,target type,gender
Ratsherren,Ratsherren,Undirected,,1,Figur,Genderrolle,Mann
Effi Briest,Baronin,Undirected,,1,Figur,Genderrolle,Frau
Effi Briest,Innstetten,Undirected,,1,Figur,Genderrolle,Frau
Geert Instetten,Innstettens,Undirected,,1,Figur,Genderrolle,Genderneutral
Kruse,Kutscher,Undirected,,1,Figur,Genderrolle,Mann
Kruse,Kruse,Undirected,,1,Figur,Genderrolle,Mann
Ankommende,Ankommenden,Undirected,,1,Figur,Genderrolle,Genderneutral
Kruse,Kutschers,Undirected,,1,Figur,Genderrolle,Mann
Bahnhofsleute,Bahnhofsleuten,Undirected,,1,Figur,Genderrolle,Genderneutral
Otto von Bismarck,Fürsten,Undirected,,1,Figur,Genderrolle,Mann
Starost,Starosten,Undirected,,1,Figur,Genderrolle,Mann
Starost,Starost,Undirected,,1,Figur,Genderrolle,Mann
Golchowski,Pole,Undirected,,1,Figur,Genderrolle,Mann
Golchowski,Golchowski,Undirected,,1,Figur,Genderrolle,Mann
Passagier,Passagier,Undirected,,1,Figur,Genderrolle,Mann
Loyalen,Loyalen,Undirected,,1,Figur,Genderrolle,Mann
Herrschaften,Herrschaften,Undirected,,1,Figur,Genderrolle,Genderneutral
Polen,Polen,Undirected,,1,Figur,Genderrolle,Genderneutral
Leute,Leute,Undirected,,1,Figur,Genderrolle,Genderneutral
Städter,Städter,Undirected,,1,Figur,Genderrolle,Genderneutral
Landbevölkerung,Landbevölkerung,Undirected,,1,Figur,Genderrolle,Genderneutral
Kaschuben,Kaschuben,Undirected,,1,Figur,Genderrolle,Genderneutral
Eingewanderte,Eingewanderte,Undirected,,1,Figur,Genderrolle,Genderneutral
Neger,Neger,Undirected,,1,Figur,Genderrolle,Mann
Türken,Türken,Undirected,,1,Figur,Genderrolle,Mann
Chinesen,Chinesen,Undirected,,1,Figur,Genderrolle,Mann
Fremden,Fremden,Undirected,,1,Figur,Genderrolle,Genderneutral
Großeltern,Großeltern,Undirected,,1,Figur,Genderrolle,Genderneutral
Chinese,Chinese,Undirected,,1,Figur,Genderrolle,Mann
Kaufmann,Kaufmann,Undirected,,1,Figur,Genderrolle,Mann
Macpherson,Baggermeister,Undirected,,1,Figur,Genderrolle,Mann
Macpherson,Macpherson,Undirected,,1,Figur,Genderrolle,Mann
Macpherson,Schotten,Undirected,,1,Figur,Genderrolle,Mann
Macpherson,Hochländer,Undirected,,1,Figur,Genderrolle,Mann
Männchen,Männchen,Undirected,,1,Figur,Genderrolle,Mann
Clan,Clan,Undirected,,1,Figur,Genderrolle,Genderneutral
Walter,Walter,Undirected,,1,Figur,Genderrolle,Mann
Scott,Scott,Undirected,,1,Figur,Genderrolle,Mann
Beza,Wundarzt,Undirected,,1,Figur,Genderrolle,Mann
Beza,Beza,Undirected,,1,Figur,Genderrolle,Mann
Beza,Barbier,Undirected,,1,Figur,Genderrolle,Mann
de Meza,General,Undirected,,1,Figur,Genderrolle,Mann
de Meza,de,Undirected,,1,Figur,Genderrolle,Mann
de Meza,Meza,Undirected,,1,Figur,Genderrolle,Mann
Landverwandte,Landesverwandtschaft,Undirected,,1,Figur,Genderrolle,Genderneutral
Stedingk,Goldschmied,Undirected,,1,Figur,Genderrolle,Mann
Stedingk,Stedingk,Undirected,,1,Figur,Genderrolle,Mann
Familien,Familie,Undirected,,1,Figur,Genderrolle,Genderneutral
Reichsgrafen,Reichsgrafen,Undirected,,1,Figur,Genderrolle,Mann
Hannemann,Doktor,Undirected,,1,Figur,Genderrolle,Mann
Hannemann,Hannemann,Undirected,,1,Figur,Genderrolle,Mann
Hannemann,Däne,Undirected,,1,Figur,Genderrolle,Mann
Chirurgen,Chirurgen,Undirected,,1,Figur,Genderrolle,Mann
Barbiere,Barbiere,Undirected,,1,Figur,Genderrolle,Mann
Kapitäne,Kapitäne,Undirected,,1,Figur,Genderrolle,Mann
Holländer,Holländer,Undirected,,1,Figur,Genderrolle,Mann
Kapitän,Kapitän,Undirected,,1,Figur,Genderrolle,Mann
Seeräuber,Seeräuber,Undirected,,1,Figur,Genderrolle,Mann
Schwarzflaggen,Schwarzflaggen,Undirected,,1,Figur,Genderrolle,Mann
Normannenherzog,Normannenherzog,Undirected,,1,Figur,Genderrolle,Mann
Lebendiger,Lebendiger,Undirected,,1,Figur,Genderrolle,Mann
Toter,Toter,Undirected,,1,Figur,Genderrolle,Mann
Hausinsassen,Hausinsassen,Undirected,,1,Figur,Genderrolle,Genderneutral
Dienstschaft,Dienerschaft,Undirected,,1,Figur,Genderrolle,Genderneutral
Johanna,Hausmädchen,Undirected,,1,Figur,Genderrolle,Frau
