Source,Target,Type,Label,Weight,source type,target type,gender
Alexander der Große,Alexander der Große,Undirected,,1,Figur,Genderrolle,Mann
ein Schaffner,Schaffner,Undirected,,1,Figur,Genderrolle,Mann
die Deutschen,Menschen,Undirected,,1,Figur,Genderrolle,Genderneutral
Deutsch-Russen,Emigranten,Undirected,,1,Figur,Genderrolle,Genderneutral
ein Schaffner,Schwätzer,Undirected,,1,Figur,Genderrolle,Mann
ein Schaffner,Bursche,Undirected,,1,Figur,Genderrolle,Mann
Rudold Schmitz,kein Kaufmann,Undirected,,1,Figur,Genderrolle,Mann
Rudold Schmitz,Sonderkorrespondent,Undirected,,1,Figur,Genderrolle,Mann
Rudold Schmitz,Poet,Undirected,,1,Figur,Genderrolle,Mann
Rudold Schmitz,Mensch,Undirected,,1,Figur,Genderrolle,Genderneutral
Verehrerinnen,Vereherinnen,Undirected,,1,Figur,Genderrolle,Frau
Rudolf Schmitz,Reisebegleiter,Undirected,,1,Figur,Genderrolle,Mann
die Europäer,Europäer,Undirected,,1,Figur,Genderrolle,Mann
Rudolf Schmitz,kein soldat,Undirected,,1,Figur,Genderrolle,Mann
Alois Kobler,Bruder,Undirected,,1,Figur,Genderrolle,Mann
Alois Kobler,Alois,Undirected,,1,Figur,Genderrolle,MAnn
eine Frau,Fraunzimmer,Undirected,,1,Figur,Genderrolle,Genderneutral
ein Sanitätsarzt,Sanitätsarzt,Undirected,,1,Figur,Genderrolle,Mann
ein Sanitätsarzt,Mediziner,Undirected,,1,Figur,Genderrolle,Mann
Mutter Kobler,Mutter,Undirected,,1,Figur,Genderrolle,Frau
Vater Kobler,Vater,Undirected,,1,Figur,Genderrolle,Mann
Großeltern Kobler,Großeltern,Undirected,,1,Figur,Genderrolle,Genderneutral
Tante Marie Kobler,Tante Marie,Undirected,,1,Figur,Genderrolle,Frau
Rudolf Schmitz,Bekannter,Undirected,,1,Figur,Genderrolle,Mann
