Source,Target,Type,Label,Weight,source type,target type,gender
Phrynichos,Tragiker,Undirected,,1,Figur,Rolle,Mann
Phrynichos,Lustspieldichter,Undirected,,1,Figur,Rolle,Mann
Schüler,Sekundaner,Undirected,,1,Figur,Rolle,Genderneutral
Barfus,General,Undirected,,1,Figur,Rolle,Mann
Barfus,Mann,Undirected,,1,Figur,Rolle,Mann
junger Offizier,Offizier,Undirected,,1,Figur,Rolle,Mann
junger Offizier,Abzuurteilende,Undirected,,1,Figur,Rolle,Mann
der Mensch,Mensch,Undirected,,1,Figur,Rolle,Genderneutral
Schüler,Jungens,Undirected,,1,Figur,Rolle,Mann
Rindfleisch,Kerl,Undirected,,1,Figur,Rolle,Mann
Rindfleisch,Beste,Undirected,,1,Figur,Rolle,Mann
Immanuel Schultze,Schlieker,Undirected,,1,Figur,Rolle,Mann
Frau Schultze,Frau,Undirected,,1,Figur,Rolle,Frau
Immanuel Schultze,Ehespons,Undirected,,1,Figur,Rolle,Mann
Schüler,Primaner,Undirected,,1,Figur,Rolle,Mann
ein Lehrer,Lehrer,Undirected,,1,Figur,Rolle,Mann
ein Direktor,Direktor,Undirected,,1,Figur,Rolle,Mann
ein Direktor,Herr,Undirected,,1,Figur,Rolle,Mann
die große Würdenträger,Würdenträger,Undirected,,1,Figur,Rolle,Genderneutral
die große Würdenträger,Schlemmer,Undirected,,1,Figur,Rolle,Genderneutral
Menschen,Seelen,Undirected,,1,Figur,Rolle,Genderneutral
Hammerstein,Professor,Undirected,,1,Figur,Rolle,Mann
Agathon Knurzel,Mister Punch,Undirected,,1,Figur,Rolle,Mann
die Kirchenleute,Kirchenleute,Undirected,,1,Figur,Rolle,Genderneutral
Friedeberg,Mann,Undirected,,1,Figur,Rolle,Mann
Wilibald Schmidt,Urgermane,Undirected,,1,Figur,Rolle,Mann
Friedeberg,Max Piccolomini,Undirected,,1,Figur,Rolle,Mann
Max Piccolomini,Vorbild,Undirected,,1,Figur,Rolle,Genderneutral
Friedeberg,Schreib- und Zeichenlehrer,Undirected,,1,Figur,Rolle,Genderneutral
die Fürsten,Fürsten,Undirected,,1,Figur,Rolle,Genderneutral
die Fürsten,Vorfahren,Undirected,,1,Figur,Rolle,Genderneutral
"Wilibald Schmidt, Friedrich Distelkamp",Herren,Undirected,,1,Figur,Rolle,Mann
Portier von Friedeberg,Portier,Undirected,,1,Figur,Rolle,Mann
Portier von Friedeberg,Freund,Undirected,,1,Figur,Rolle,Mann
Portier von Friedeberg,Gönner,Undirected,,1,Figur,Rolle,Mann
"Friedrich Distelkamp, Friedeberg, Charles Etienne",Herren,Undirected,,1,Figur,Rolle,Mann
Wilibald Schmidt,Gastgeber,Undirected,,1,Figur,Rolle,Mann
Wilibald Schmidt,Feldherr,Undirected,,1,Figur,Rolle,Mann
Wilibald Schmidt,Wirt,Undirected,,1,Figur,Rolle,Mann
Wilibald Schmidt,Weiser,Undirected,,1,Figur,Rolle,Mann
Friedeberg,Neumärker,Undirected,,1,Figur,Rolle,Mann
Friedeberg,Oderbrücher,Undirected,,1,Figur,Rolle,Mann
Friedeberg,Virtuose,Undirected,,1,Figur,Rolle,Mann
Charles Etienne,Feinschmecker,Undirected,,1,Figur,Rolle,Mann
Dienstleute,Bevölkerung,Undirected,,1,Figur,Rolle,Genderneutral
Dienstleute,Gesinde,Undirected,,1,Figur,Rolle,Genderneutral
